                     NAME                 LANGUAGE                  VARIANT
             Bengali+Iven                       bn                     Iven
            Bengali+Iven2                       bn                    Iven2
            Bengali+Iven3                       bn                    Iven3
            Bengali+Jacky                       bn                    Jacky
             Bengali+John                       bn                     John
       Bengali+Kaukovalta                       bn               Kaukovalta
            Bengali+Mario                       bn                    Mario
              Bengali+Max                       bn                      Max
          Bengali+Michael                       bn                  Michael
           Bengali+Michel                       bn                   Michel
           Bengali+Miguel                       bn                   Miguel
       Bengali+Mr_Serious                       bn               Mr_Serious
           Bengali+Nguyen                       bn                   Nguyen
            Bengali+Pablo                       bn                    Pablo
           Bengali+Pablo2                       bn                   Pablo2
             Bengali+Paul                       bn                     Paul
            Bengali+Pedro                       bn                    Pedro
           Bengali+Quincy                       bn                   Quincy
      Bengali+RicishayMax                       bn              RicishayMax
     Bengali+RicishayMax2                       bn             RicishayMax2
     Bengali+RicishayMax3                       bn             RicishayMax3
              Bengali+Rob                       bn                      Rob
           Bengali+Robert                       bn                   Robert
        Bengali+Robosoft3                       bn                Robosoft3
        Bengali+Robosoft4                       bn                Robosoft4
        Bengali+Robosoft5                       bn                Robosoft5
        Bengali+Robosoft6                       bn                Robosoft6
        Bengali+Robosoft7                       bn                Robosoft7
        Bengali+Robosoft8                       bn                Robosoft8
            Bengali+Steph                       bn                    Steph
           Bengali+Steph2                       bn                   Steph2
           Bengali+Steph3                       bn                   Steph3
            Bengali+Storm                       bn                    Storm
           Bengali+Tweaky                       bn                   Tweaky
              Bengali+Zac                       bn                      Zac
            Bengali+anika                       bn                    anika
       Bengali+anikaRobot                       bn               anikaRobot
        Bengali+fast_test                       bn                fast_test
          Bengali+female2                       bn                  female2
          Bengali+female3                       bn                  female3
          Bengali+female4                       bn                  female4
          Bengali+female5                       bn                  female5
   Bengali+female_whisper                       bn           female_whisper
          Bengali+grandpa                       bn                  grandpa
            Bengali+klatt                       bn                    klatt
           Bengali+klatt2                       bn                   klatt2
           Bengali+klatt3                       bn                   klatt3
           Bengali+klatt4                       bn                   klatt4
            Bengali+male2                       bn                    male2
            Bengali+male3                       bn                    male3
            Bengali+male4                       bn                    male4
            Bengali+male5                       bn                    male5
            Bengali+male6                       bn                    male6
            Bengali+male7                       bn                    male7
          Bengali+norbert                       bn                  norbert
           Bengali+sandro                       bn                   sandro
           Bengali+shelby                       bn                   shelby
           Bengali+travis                       bn                   travis
           Bengali+victor                       bn                   victor
          Bengali+whisper                       bn                  whisper
            Bengali+male8                       bn                    male8
          Bengali+female1                       bn                  female1
            Bengali+croak                       bn                    croak
            Bengali+male1                       bn                    male1
          Bengali+grandma                       bn                  grandma
     Bishnupriya Manipuri                      bpy                     none
Bishnupriya Manipuri+Andrea                      bpy                   Andrea
Bishnupriya Manipuri+Annie                      bpy                    Annie
Bishnupriya Manipuri+Antonio                      bpy                  Antonio
Bishnupriya Manipuri+Auntie                      bpy                   Auntie
Bishnupriya Manipuri+Belinda                      bpy                  Belinda
Bishnupriya Manipuri+Boris                      bpy                    Boris
Bishnupriya Manipuri+Denis                      bpy                    Denis
Bishnupriya Manipuri+Diogo                      bpy                    Diogo
  Bishnupriya Manipuri+Ed                      bpy                       Ed
Bishnupriya Manipuri+Gene                      bpy                     Gene
Bishnupriya Manipuri+Gene2                      bpy                    Gene2
Bishnupriya Manipuri+Henrique                      bpy                 Henrique
Bishnupriya Manipuri+Hugo                      bpy                     Hugo
Bishnupriya Manipuri+Iven                      bpy                     Iven
Bishnupriya Manipuri+Iven2                      bpy                    Iven2
Bishnupriya Manipuri+Iven3                      bpy                    Iven3
Bishnupriya Manipuri+Jacky                      bpy                    Jacky
Bishnupriya Manipuri+John                      bpy                     John
Bishnupriya Manipuri+Kaukovalta                      bpy               Kaukovalta
Bishnupriya Manipuri+Mario                      bpy                    Mario
 Bishnupriya Manipuri+Max                      bpy                      Max
Bishnupriya Manipuri+Michael                      bpy                  Michael
Bishnupriya Manipuri+Michel                      bpy                   Michel
Bishnupriya Manipuri+Miguel                      bpy                   Miguel
Bishnupriya Manipuri+Mr_Serious                      bpy               Mr_Serious
Bishnupriya Manipuri+Nguyen                      bpy                   Nguyen
Bishnupriya Manipuri+Pablo                      bpy                    Pablo
Bishnupriya Manipuri+Pablo2                      bpy                   Pablo2
Bishnupriya Manipuri+Paul                      bpy                     Paul
Bishnupriya Manipuri+Pedro                      bpy                    Pedro
Bishnupriya Manipuri+Quincy                      bpy                   Quincy
Bishnupriya Manipuri+RicishayMax                      bpy              RicishayMax
Bishnupriya Manipuri+RicishayMax2                      bpy             RicishayMax2
Bishnupriya Manipuri+RicishayMax3                      bpy             RicishayMax3
 Bishnupriya Manipuri+Rob                      bpy                      Rob
Bishnupriya Manipuri+Robert                      bpy                   Robert
Bishnupriya Manipuri+Robosoft3                      bpy                Robosoft3
Bishnupriya Manipuri+Robosoft4                      bpy                Robosoft4
Bishnupriya Manipuri+Robosoft5                      bpy                Robosoft5
Bishnupriya Manipuri+Robosoft6                      bpy                Robosoft6
Bishnupriya Manipuri+Robosoft7                      bpy                Robosoft7
Bishnupriya Manipuri+Robosoft8                      bpy                Robosoft8
Bishnupriya Manipuri+Steph                      bpy                    Steph
Bishnupriya Manipuri+Steph2                      bpy                   Steph2
Bishnupriya Manipuri+Steph3                      bpy                   Steph3
Bishnupriya Manipuri+Storm                      bpy                    Storm
Bishnupriya Manipuri+Tweaky                      bpy                   Tweaky
 Bishnupriya Manipuri+Zac                      bpy                      Zac
Bishnupriya Manipuri+anika                      bpy                    anika
Bishnupriya Manipuri+anikaRobot                      bpy               anikaRobot
Bishnupriya Manipuri+fast_test                      bpy                fast_test
Bishnupriya Manipuri+female2                      bpy                  female2
Bishnupriya Manipuri+female3                      bpy                  female3
Bishnupriya Manipuri+female4                      bpy                  female4
Bishnupriya Manipuri+female5                      bpy                  female5
Bishnupriya Manipuri+female_whisper                      bpy           female_whisper
Bishnupriya Manipuri+grandpa                      bpy                  grandpa
Bishnupriya Manipuri+klatt                      bpy                    klatt
Bishnupriya Manipuri+klatt2                      bpy                   klatt2
Bishnupriya Manipuri+klatt3                      bpy                   klatt3
Bishnupriya Manipuri+klatt4                      bpy                   klatt4
Bishnupriya Manipuri+male2                      bpy                    male2
Bishnupriya Manipuri+male3                      bpy                    male3
Bishnupriya Manipuri+male4                      bpy                    male4
Bishnupriya Manipuri+male5                      bpy                    male5
Bishnupriya Manipuri+male6                      bpy                    male6
Bishnupriya Manipuri+male7                      bpy                    male7
Bishnupriya Manipuri+norbert                      bpy                  norbert
Bishnupriya Manipuri+sandro                      bpy                   sandro
Bishnupriya Manipuri+shelby                      bpy                   shelby
Bishnupriya Manipuri+travis                      bpy                   travis
Bishnupriya Manipuri+victor                      bpy                   victor
Bishnupriya Manipuri+whisper                      bpy                  whisper
Bishnupriya Manipuri+male8                      bpy                    male8
Bishnupriya Manipuri+female1                      bpy                  female1
Bishnupriya Manipuri+croak                      bpy                    croak
Bishnupriya Manipuri+male1                      bpy                    male1
Bishnupriya Manipuri+grandma                      bpy                  grandma
                  Bosnian                       bs                     none
           Bosnian+Andrea                       bs                   Andrea
            Bosnian+Annie                       bs                    Annie
          Bosnian+Antonio                       bs                  Antonio
           Bosnian+Auntie                       bs                   Auntie
          Bosnian+Belinda                       bs                  Belinda
            Bosnian+Boris                       bs                    Boris
            Bosnian+Denis                       bs                    Denis
            Bosnian+Diogo                       bs                    Diogo
               Bosnian+Ed                       bs                       Ed
             Bosnian+Gene                       bs                     Gene
            Bosnian+Gene2                       bs                    Gene2
         Bosnian+Henrique                       bs                 Henrique
             Bosnian+Hugo                       bs                     Hugo
             Bosnian+Iven                       bs                     Iven
            Bosnian+Iven2                       bs                    Iven2
            Bosnian+Iven3                       bs                    Iven3
            Bosnian+Jacky                       bs                    Jacky
             Bosnian+John                       bs                     John
       Bosnian+Kaukovalta                       bs               Kaukovalta
            Bosnian+Mario                       bs                    Mario
              Bosnian+Max                       bs                      Max
          Bosnian+Michael                       bs                  Michael
           Bosnian+Michel                       bs                   Michel
           Bosnian+Miguel                       bs                   Miguel
       Bosnian+Mr_Serious                       bs               Mr_Serious
           Bosnian+Nguyen                       bs                   Nguyen
            Bosnian+Pablo                       bs                    Pablo
           Bosnian+Pablo2                       bs                   Pablo2
             Bosnian+Paul                       bs                     Paul
            Bosnian+Pedro                       bs                    Pedro
           Bosnian+Quincy                       bs                   Quincy
      Bosnian+RicishayMax                       bs              RicishayMax
     Bosnian+RicishayMax2                       bs             RicishayMax2
     Bosnian+RicishayMax3                       bs             RicishayMax3
              Bosnian+Rob                       bs                      Rob
           Bosnian+Robert                       bs                   Robert
        Bosnian+Robosoft3                       bs                Robosoft3
        Bosnian+Robosoft4                       bs                Robosoft4
        Bosnian+Robosoft5                       bs                Robosoft5
        Bosnian+Robosoft6                       bs                Robosoft6
        Bosnian+Robosoft7                       bs                Robosoft7
        Bosnian+Robosoft8                       bs                Robosoft8
            Bosnian+Steph                       bs                    Steph
           Bosnian+Steph2                       bs                   Steph2
           Bosnian+Steph3                       bs                   Steph3
            Bosnian+Storm                       bs                    Storm
           Bosnian+Tweaky                       bs                   Tweaky
              Bosnian+Zac                       bs                      Zac
            Bosnian+anika                       bs                    anika
       Bosnian+anikaRobot                       bs               anikaRobot
        Bosnian+fast_test                       bs                fast_test
          Bosnian+female2                       bs                  female2
          Bosnian+female3                       bs                  female3
          Bosnian+female4                       bs                  female4
          Bosnian+female5                       bs                  female5
   Bosnian+female_whisper                       bs           female_whisper
          Bosnian+grandpa                       bs                  grandpa
            Bosnian+klatt                       bs                    klatt
           Bosnian+klatt2                       bs                   klatt2
           Bosnian+klatt3                       bs                   klatt3
           Bosnian+klatt4                       bs                   klatt4
            Bosnian+male2                       bs                    male2
            Bosnian+male3                       bs                    male3
            Bosnian+male4                       bs                    male4
            Bosnian+male5                       bs                    male5
            Bosnian+male6                       bs                    male6
            Bosnian+male7                       bs                    male7
          Bosnian+norbert                       bs                  norbert
           Bosnian+sandro                       bs                   sandro
           Bosnian+shelby                       bs                   shelby
           Bosnian+travis                       bs                   travis
           Bosnian+victor                       bs                   victor
          Bosnian+whisper                       bs                  whisper
            Bosnian+male8                       bs                    male8
          Bosnian+female1                       bs                  female1
            Bosnian+croak                       bs                    croak
            Bosnian+male1                       bs                    male1
          Bosnian+grandma                       bs                  grandma
                  Catalan                       ca                     none
           Catalan+Andrea                       ca                   Andrea
            Catalan+Annie                       ca                    Annie
          Catalan+Antonio                       ca                  Antonio
           Catalan+Auntie                       ca                   Auntie
          Catalan+Belinda                       ca                  Belinda
            Catalan+Boris                       ca                    Boris
            Catalan+Denis                       ca                    Denis
            Catalan+Diogo                       ca                    Diogo
               Catalan+Ed                       ca                       Ed
             Catalan+Gene                       ca                     Gene
            Catalan+Gene2                       ca                    Gene2
         Catalan+Henrique                       ca                 Henrique
             Catalan+Hugo                       ca                     Hugo
             Catalan+Iven                       ca                     Iven
            Catalan+Iven2                       ca                    Iven2
            Catalan+Iven3                       ca                    Iven3
            Catalan+Jacky                       ca                    Jacky
             Catalan+John                       ca                     John
       Catalan+Kaukovalta                       ca               Kaukovalta
            Catalan+Mario                       ca                    Mario
              Catalan+Max                       ca                      Max
          Catalan+Michael                       ca                  Michael
           Catalan+Michel                       ca                   Michel
           Catalan+Miguel                       ca                   Miguel
       Catalan+Mr_Serious                       ca               Mr_Serious
           Catalan+Nguyen                       ca                   Nguyen
            Catalan+Pablo                       ca                    Pablo
           Catalan+Pablo2                       ca                   Pablo2
             Catalan+Paul                       ca                     Paul
            Catalan+Pedro                       ca                    Pedro
           Catalan+Quincy                       ca                   Quincy
      Catalan+RicishayMax                       ca              RicishayMax
     Catalan+RicishayMax2                       ca             RicishayMax2
     Catalan+RicishayMax3                       ca             RicishayMax3
              Catalan+Rob                       ca                      Rob
           Catalan+Robert                       ca                   Robert
        Catalan+Robosoft3                       ca                Robosoft3
        Catalan+Robosoft4                       ca                Robosoft4
        Catalan+Robosoft5                       ca                Robosoft5
        Catalan+Robosoft6                       ca                Robosoft6
        Catalan+Robosoft7                       ca                Robosoft7
        Catalan+Robosoft8                       ca                Robosoft8
            Catalan+Steph                       ca                    Steph
           Catalan+Steph2                       ca                   Steph2
           Catalan+Steph3                       ca                   Steph3
            Catalan+Storm                       ca                    Storm
           Catalan+Tweaky                       ca                   Tweaky
              Catalan+Zac                       ca                      Zac
            Catalan+anika                       ca                    anika
       Catalan+anikaRobot                       ca               anikaRobot
        Catalan+fast_test                       ca                fast_test
          Catalan+female2                       ca                  female2
          Catalan+female3                       ca                  female3
          Catalan+female4                       ca                  female4
          Catalan+female5                       ca                  female5
   Catalan+female_whisper                       ca           female_whisper
          Catalan+grandpa                       ca                  grandpa
            Catalan+klatt                       ca                    klatt
           Catalan+klatt2                       ca                   klatt2
           Catalan+klatt3                       ca                   klatt3
           Catalan+klatt4                       ca                   klatt4
            Catalan+male2                       ca                    male2
            Catalan+male3                       ca                    male3
            Catalan+male4                       ca                    male4
            Catalan+male5                       ca                    male5
            Catalan+male6                       ca                    male6
            Catalan+male7                       ca                    male7
          Catalan+norbert                       ca                  norbert
           Catalan+sandro                       ca                   sandro
           Catalan+shelby                       ca                   shelby
           Catalan+travis                       ca                   travis
           Catalan+victor                       ca                   victor
          Catalan+whisper                       ca                  whisper
            Catalan+male8                       ca                    male8
          Catalan+female1                       ca                  female1
            Catalan+croak                       ca                    croak
            Catalan+male1                       ca                    male1
          Catalan+grandma                       ca                  grandma
       Chinese (Mandarin)                      cmn                     none
Chinese (Mandarin)+Andrea                      cmn                   Andrea
 Chinese (Mandarin)+Annie                      cmn                    Annie
Chinese (Mandarin)+Antonio                      cmn                  Antonio
Chinese (Mandarin)+Auntie                      cmn                   Auntie
Chinese (Mandarin)+Belinda                      cmn                  Belinda
 Chinese (Mandarin)+Boris                      cmn                    Boris
 Chinese (Mandarin)+Denis                      cmn                    Denis
 Chinese (Mandarin)+Diogo                      cmn                    Diogo
    Chinese (Mandarin)+Ed                      cmn                       Ed
  Chinese (Mandarin)+Gene                      cmn                     Gene
 Chinese (Mandarin)+Gene2                      cmn                    Gene2
Chinese (Mandarin)+Henrique                      cmn                 Henrique
  Chinese (Mandarin)+Hugo                      cmn                     Hugo
  Chinese (Mandarin)+Iven                      cmn                     Iven
 Chinese (Mandarin)+Iven2                      cmn                    Iven2
 Chinese (Mandarin)+Iven3                      cmn                    Iven3
 Chinese (Mandarin)+Jacky                      cmn                    Jacky
  Chinese (Mandarin)+John                      cmn                     John
Chinese (Mandarin)+Kaukovalta                      cmn               Kaukovalta
 Chinese (Mandarin)+Mario                      cmn                    Mario
   Chinese (Mandarin)+Max                      cmn                      Max
Chinese (Mandarin)+Michael                      cmn                  Michael
Chinese (Mandarin)+Michel                      cmn                   Michel
Chinese (Mandarin)+Miguel                      cmn                   Miguel
Chinese (Mandarin)+Mr_Serious                      cmn               Mr_Serious
Chinese (Mandarin)+Nguyen                      cmn                   Nguyen
 Chinese (Mandarin)+Pablo                      cmn                    Pablo
Chinese (Mandarin)+Pablo2                      cmn                   Pablo2
  Chinese (Mandarin)+Paul                      cmn                     Paul
 Chinese (Mandarin)+Pedro                      cmn                    Pedro
Chinese (Mandarin)+Quincy                      cmn                   Quincy
Chinese (Mandarin)+RicishayMax                      cmn              RicishayMax
Chinese (Mandarin)+RicishayMax2                      cmn             RicishayMax2
Chinese (Mandarin)+RicishayMax3                      cmn             RicishayMax3
   Chinese (Mandarin)+Rob                      cmn                      Rob
Chinese (Mandarin)+Robert                      cmn                   Robert
Chinese (Mandarin)+Robosoft3                      cmn                Robosoft3
Chinese (Mandarin)+Robosoft4                      cmn                Robosoft4
Chinese (Mandarin)+Robosoft5                      cmn                Robosoft5
Chinese (Mandarin)+Robosoft6                      cmn                Robosoft6
Chinese (Mandarin)+Robosoft7                      cmn                Robosoft7
Chinese (Mandarin)+Robosoft8                      cmn                Robosoft8
 Chinese (Mandarin)+Steph                      cmn                    Steph
Chinese (Mandarin)+Steph2                      cmn                   Steph2
Chinese (Mandarin)+Steph3                      cmn                   Steph3
 Chinese (Mandarin)+Storm                      cmn                    Storm
Chinese (Mandarin)+Tweaky                      cmn                   Tweaky
   Chinese (Mandarin)+Zac                      cmn                      Zac
 Chinese (Mandarin)+anika                      cmn                    anika
Chinese (Mandarin)+anikaRobot                      cmn               anikaRobot
Chinese (Mandarin)+fast_test                      cmn                fast_test
Chinese (Mandarin)+female2                      cmn                  female2
Chinese (Mandarin)+female3                      cmn                  female3
Chinese (Mandarin)+female4                      cmn                  female4
Chinese (Mandarin)+female5                      cmn                  female5
Chinese (Mandarin)+female_whisper                      cmn           female_whisper
Chinese (Mandarin)+grandpa                      cmn                  grandpa
 Chinese (Mandarin)+klatt                      cmn                    klatt
Chinese (Mandarin)+klatt2                      cmn                   klatt2
Chinese (Mandarin)+klatt3                      cmn                   klatt3
Chinese (Mandarin)+klatt4                      cmn                   klatt4
 Chinese (Mandarin)+male2                      cmn                    male2
 Chinese (Mandarin)+male3                      cmn                    male3
 Chinese (Mandarin)+male4                      cmn                    male4
 Chinese (Mandarin)+male5                      cmn                    male5
 Chinese (Mandarin)+male6                      cmn                    male6
 Chinese (Mandarin)+male7                      cmn                    male7
Chinese (Mandarin)+norbert                      cmn                  norbert
Chinese (Mandarin)+sandro                      cmn                   sandro
Chinese (Mandarin)+shelby                      cmn                   shelby
Chinese (Mandarin)+travis                      cmn                   travis
Chinese (Mandarin)+victor                      cmn                   victor
Chinese (Mandarin)+whisper                      cmn                  whisper
 Chinese (Mandarin)+male8                      cmn                    male8
Chinese (Mandarin)+female1                      cmn                  female1
 Chinese (Mandarin)+croak                      cmn                    croak
 Chinese (Mandarin)+male1                      cmn                    male1
Chinese (Mandarin)+grandma                      cmn                  grandma
                    Czech                       cs                     none
             Czech+Andrea                       cs                   Andrea
              Czech+Annie                       cs                    Annie
            Czech+Antonio                       cs                  Antonio
             Czech+Auntie                       cs                   Auntie
            Czech+Belinda                       cs                  Belinda
              Czech+Boris                       cs                    Boris
              Czech+Denis                       cs                    Denis
              Czech+Diogo                       cs                    Diogo
                 Czech+Ed                       cs                       Ed
               Czech+Gene                       cs                     Gene
              Czech+Gene2                       cs                    Gene2
           Czech+Henrique                       cs                 Henrique
               Czech+Hugo                       cs                     Hugo
               Czech+Iven                       cs                     Iven
              Czech+Iven2                       cs                    Iven2
              Czech+Iven3                       cs                    Iven3
              Czech+Jacky                       cs                    Jacky
               Czech+John                       cs                     John
         Czech+Kaukovalta                       cs               Kaukovalta
              Czech+Mario                       cs                    Mario
                Czech+Max                       cs                      Max
            Czech+Michael                       cs                  Michael
             Czech+Michel                       cs                   Michel
             Czech+Miguel                       cs                   Miguel
         Czech+Mr_Serious                       cs               Mr_Serious
             Czech+Nguyen                       cs                   Nguyen
              Czech+Pablo                       cs                    Pablo
             Czech+Pablo2                       cs                   Pablo2
               Czech+Paul                       cs                     Paul
              Czech+Pedro                       cs                    Pedro
             Czech+Quincy                       cs                   Quincy
        Czech+RicishayMax                       cs              RicishayMax
       Czech+RicishayMax2                       cs             RicishayMax2
       Czech+RicishayMax3                       cs             RicishayMax3
                Czech+Rob                       cs                      Rob
             Czech+Robert                       cs                   Robert
          Czech+Robosoft3                       cs                Robosoft3
          Czech+Robosoft4                       cs                Robosoft4
          Czech+Robosoft5                       cs                Robosoft5
          Czech+Robosoft6                       cs                Robosoft6
          Czech+Robosoft7                       cs                Robosoft7
          Czech+Robosoft8                       cs                Robosoft8
              Czech+Steph                       cs                    Steph
             Czech+Steph2                       cs                   Steph2
             Czech+Steph3                       cs                   Steph3
              Czech+Storm                       cs                    Storm
             Czech+Tweaky                       cs                   Tweaky
                Czech+Zac                       cs                      Zac
              Czech+anika                       cs                    anika
         Czech+anikaRobot                       cs               anikaRobot
          Czech+fast_test                       cs                fast_test
            Czech+female2                       cs                  female2
            Czech+female3                       cs                  female3
            Czech+female4                       cs                  female4
            Czech+female5                       cs                  female5
     Czech+female_whisper                       cs           female_whisper
            Czech+grandpa                       cs                  grandpa
              Czech+klatt                       cs                    klatt
             Czech+klatt2                       cs                   klatt2
             Czech+klatt3                       cs                   klatt3
             Czech+klatt4                       cs                   klatt4
              Czech+male2                       cs                    male2
              Czech+male3                       cs                    male3
              Czech+male4                       cs                    male4
              Czech+male5                       cs                    male5
              Czech+male6                       cs                    male6
              Czech+male7                       cs                    male7
            Czech+norbert                       cs                  norbert
             Czech+sandro                       cs                   sandro
             Czech+shelby                       cs                   shelby
             Czech+travis                       cs                   travis
             Czech+victor                       cs                   victor
            Czech+whisper                       cs                  whisper
              Czech+male8                       cs                    male8
            Czech+female1                       cs                  female1
              Czech+croak                       cs                    croak
              Czech+male1                       cs                    male1
            Czech+grandma                       cs                  grandma
                    Welsh                       cy                     none
             Welsh+Andrea                       cy                   Andrea
              Welsh+Annie                       cy                    Annie
            Welsh+Antonio                       cy                  Antonio
             Welsh+Auntie                       cy                   Auntie
            Welsh+Belinda                       cy                  Belinda
              Welsh+Boris                       cy                    Boris
              Welsh+Denis                       cy                    Denis
              Welsh+Diogo                       cy                    Diogo
                 Welsh+Ed                       cy                       Ed
               Welsh+Gene                       cy                     Gene
              Welsh+Gene2                       cy                    Gene2
           Welsh+Henrique                       cy                 Henrique
               Welsh+Hugo                       cy                     Hugo
               Welsh+Iven                       cy                     Iven
              Welsh+Iven2                       cy                    Iven2
              Welsh+Iven3                       cy                    Iven3
              Welsh+Jacky                       cy                    Jacky
               Welsh+John                       cy                     John
         Welsh+Kaukovalta                       cy               Kaukovalta
              Welsh+Mario                       cy                    Mario
                Welsh+Max                       cy                      Max
            Welsh+Michael                       cy                  Michael
             Welsh+Michel                       cy                   Michel
             Welsh+Miguel                       cy                   Miguel
         Welsh+Mr_Serious                       cy               Mr_Serious
             Welsh+Nguyen                       cy                   Nguyen
              Welsh+Pablo                       cy                    Pablo
             Welsh+Pablo2                       cy                   Pablo2
               Welsh+Paul                       cy                     Paul
              Welsh+Pedro                       cy                    Pedro
             Welsh+Quincy                       cy                   Quincy
        Welsh+RicishayMax                       cy              RicishayMax
       Welsh+RicishayMax2                       cy             RicishayMax2
       Welsh+RicishayMax3                       cy             RicishayMax3
                Welsh+Rob                       cy                      Rob
             Welsh+Robert                       cy                   Robert
          Welsh+Robosoft3                       cy                Robosoft3
          Welsh+Robosoft4                       cy                Robosoft4
          Welsh+Robosoft5                       cy                Robosoft5
          Welsh+Robosoft6                       cy                Robosoft6
          Welsh+Robosoft7                       cy                Robosoft7
          Welsh+Robosoft8                       cy                Robosoft8
              Welsh+Steph                       cy                    Steph
             Welsh+Steph2                       cy                   Steph2
             Welsh+Steph3                       cy                   Steph3
              Welsh+Storm                       cy                    Storm
             Welsh+Tweaky                       cy                   Tweaky
                Welsh+Zac                       cy                      Zac
              Welsh+anika                       cy                    anika
         Welsh+anikaRobot                       cy               anikaRobot
          Welsh+fast_test                       cy                fast_test
            Welsh+female2                       cy                  female2
            Welsh+female3                       cy                  female3
            Welsh+female4                       cy                  female4
            Welsh+female5                       cy                  female5
     Welsh+female_whisper                       cy           female_whisper
            Welsh+grandpa                       cy                  grandpa
              Welsh+klatt                       cy                    klatt
             Welsh+klatt2                       cy                   klatt2
             Welsh+klatt3                       cy                   klatt3
             Welsh+klatt4                       cy                   klatt4
              Welsh+male2                       cy                    male2
              Welsh+male3                       cy                    male3
              Welsh+male4                       cy                    male4
              Welsh+male5                       cy                    male5
              Welsh+male6                       cy                    male6
              Welsh+male7                       cy                    male7
            Welsh+norbert                       cy                  norbert
             Welsh+sandro                       cy                   sandro
             Welsh+shelby                       cy                   shelby
             Welsh+travis                       cy                   travis
             Welsh+victor                       cy                   victor
            Welsh+whisper                       cy                  whisper
              Welsh+male8                       cy                    male8
            Welsh+female1                       cy                  female1
              Welsh+croak                       cy                    croak
              Welsh+male1                       cy                    male1
            Welsh+grandma                       cy                  grandma
                   Danish                       da                     none
            Danish+Andrea                       da                   Andrea
             Danish+Annie                       da                    Annie
           Danish+Antonio                       da                  Antonio
            Danish+Auntie                       da                   Auntie
           Danish+Belinda                       da                  Belinda
             Danish+Boris                       da                    Boris
             Danish+Denis                       da                    Denis
             Danish+Diogo                       da                    Diogo
                Danish+Ed                       da                       Ed
              Danish+Gene                       da                     Gene
             Danish+Gene2                       da                    Gene2
          Danish+Henrique                       da                 Henrique
              Danish+Hugo                       da                     Hugo
              Danish+Iven                       da                     Iven
             Danish+Iven2                       da                    Iven2
             Danish+Iven3                       da                    Iven3
             Danish+Jacky                       da                    Jacky
              Danish+John                       da                     John
        Danish+Kaukovalta                       da               Kaukovalta
             Danish+Mario                       da                    Mario
               Danish+Max                       da                      Max
           Danish+Michael                       da                  Michael
            Danish+Michel                       da                   Michel
            Danish+Miguel                       da                   Miguel
        Danish+Mr_Serious                       da               Mr_Serious
            Danish+Nguyen                       da                   Nguyen
             Danish+Pablo                       da                    Pablo
            Danish+Pablo2                       da                   Pablo2
              Danish+Paul                       da                     Paul
             Danish+Pedro                       da                    Pedro
            Danish+Quincy                       da                   Quincy
       Danish+RicishayMax                       da              RicishayMax
      Danish+RicishayMax2                       da             RicishayMax2
      Danish+RicishayMax3                       da             RicishayMax3
               Danish+Rob                       da                      Rob
            Danish+Robert                       da                   Robert
         Danish+Robosoft3                       da                Robosoft3
         Danish+Robosoft4                       da                Robosoft4
         Danish+Robosoft5                       da                Robosoft5
         Danish+Robosoft6                       da                Robosoft6
         Danish+Robosoft7                       da                Robosoft7
         Danish+Robosoft8                       da                Robosoft8
             Danish+Steph                       da                    Steph
            Danish+Steph2                       da                   Steph2
            Danish+Steph3                       da                   Steph3
             Danish+Storm                       da                    Storm
            Danish+Tweaky                       da                   Tweaky
               Danish+Zac                       da                      Zac
             Danish+anika                       da                    anika
